algorithm,entropy,budget,requested_budget,rho_y,train_rho_y
rl,0,16,16,0.1629,0.7716
on_policy_imitation,4,256,256,0.2286,0.8045
clean_sft,8,64,64,0.0,0.9
clean_sft,4,256,256,0.8066,0.9861
on_policy_imitation,2,16,16,0.4109,0.5758
clean_sft,2,256,256,0.2488,0.9295
rl,0,16,16,0.1154,0.821
trajectory_sft,2,64,64,0.0021,0.9001
clean_sft,8,1024,1024,1.0,1.0
clean_sft,0,1,1,0.4393,0.5329
rl,8,1024,1024,0.0,0.9
rl,2,1,1,0.5025,0.5002
on_policy_imitation,8,1024,1024,0.946,0.9839
clean_sft,4,64,64,0.0,0.8995
on_policy_imitation,0,1024,1024,0.9422,0.9931
rl,4,1024,1024,0.0,0.9
clean_sft,4,5897,full,1.0,1.0
trajectory_sft,2,64,64,0.0,0.9
on_policy_imitation,0,64,64,0.0598,0.8599
rl,8,256,256,0.0,0.9
rl,8,256,256,0.0,0.9
trajectory_sft,0,16,16,0.1405,0.7934
clean_sft,8,64,64,0.0,0.9
rl,0,1024,1024,0.0,0.9
trajectory_sft,4,16,16,0.1345,0.8088
rl,4,64,64,0.0031,0.9003
trajectory_sft,4,256,256,0.0,0.9
on_policy_imitation,2,4,4,0.3439,0.6282
clean_sft,0,16,16,0.0912,0.8409
on_policy_imitation,2,16,16,0.1572,0.7862
on_policy_imitation,0,256,256,0.151,0.864
trajectory_sft,0,64,64,0.0004,0.9
on_policy_imitation,8,5897,full,0.7124,0.8143
trajectory_sft,0,16,16,0.1329,0.7901
trajectory_sft,4,1024,1024,1.0,1.0
trajectory_sft,4,64,64,0.0075,0.8959
rl,4,1024,1024,0.0,0.9
rl,8,5897,full,0.2497,0.9224
rl,0,1024,1024,0.0,0.9
on_policy_imitation,2,1,1,0.4957,0.4974
rl,4,256,256,0.0,0.9
rl,0,1,1,0.6952,0.3451
clean_sft,4,5897,full,1.0,1.0
on_policy_imitation,2,1024,1024,0.946,0.9839
rl,4,1024,1024,0.0,0.9
on_policy_imitation,2,5897,full,0.7124,0.8143
clean_sft,2,1024,1024,1.0,1.0
trajectory_sft,2,4,4,0.3669,0.6011
trajectory_sft,4,1,1,0.314,0.6459
clean_sft,4,1,1,0.4649,0.528
trajectory_sft,2,1024,1024,1.0,1.0
rl,2,64,64,0.0004,0.9
trajectory_sft,4,64,64,0.0,0.8997
rl,4,5897,full,0.2406,0.924
rl,0,4,4,0.3977,0.5795
on_policy_imitation,4,4,4,0.4115,0.57
trajectory_sft,2,1,1,0.4961,0.4925
rl,2,64,64,0.0,0.9
clean_sft,4,4,4,0.3698,0.5987
clean_sft,0,4,4,0.2905,0.6636
trajectory_sft,8,1,1,0.3773,0.5968
trajectory_sft,0,64,64,0.0002,0.8999
rl,8,4,4,0.4727,0.5131
rl,2,5897,full,0.0,0.9
trajectory_sft,4,64,64,0.0025,0.8995
on_policy_imitation,2,5897,full,0.9972,1.0
rl,2,16,16,0.1599,0.7842
rl,8,4,4,0.3797,0.599
clean_sft,0,4,4,0.3698,0.5987
clean_sft,2,16,16,0.0697,0.8471
rl,8,1,1,0.5031,0.5001
clean_sft,4,256,256,0.4112,0.9436
clean_sft,4,4,4,0.3362,0.6376
rl,4,256,256,0.0,0.9
rl,0,4,4,0.4509,0.5487
trajectory_sft,0,1,1,0.2694,0.6815
trajectory_sft,0,1024,1024,1.0,1.0
trajectory_sft,2,16,16,0.1539,0.7792
rl,4,1024,1024,0.0,0.9
rl,0,5897,full,0.0,0.9
on_policy_imitation,0,16,16,0.3804,0.6184
rl,2,1,1,0.5003,0.4993
rl,4,4,4,0.3154,0.6652
on_policy_imitation,8,1,1,0.5,0.5
clean_sft,2,64,64,0.0,0.9
on_policy_imitation,4,64,64,0.0598,0.8599
trajectory_sft,2,1,1,0.3964,0.6134
rl,8,5897,full,0.0,0.9
rl,2,16,16,0.1662,0.7647
on_policy_imitation,0,64,64,0.0319,0.869
rl,4,256,256,0.0,0.9
on_policy_imitation,0,5897,full,1.0,1.0
trajectory_sft,8,1024,1024,1.0,1.0
trajectory_sft,0,1,1,0.5,0.4999
rl,8,256,256,0.0,0.9
trajectory_sft,2,5897,full,1.0,1.0
on_policy_imitation,8,256,256,0.1771,0.8899
trajectory_sft,4,1,1,0.4847,0.5216
on_policy_imitation,4,1,1,0.485,0.4886
on_policy_imitation,2,16,16,0.3396,0.6512
clean_sft,4,1024,1024,1.0,1.0
rl,8,16,16,0.1902,0.7583
trajectory_sft,4,1,1,0.5,0.5
clean_sft,8,64,64,0.0,0.9
trajectory_sft,0,1,1,0.5,0.5
on_policy_imitation,8,1,1,0.5003,0.5
on_policy_imitation,4,5897,full,0.7124,0.8143
clean_sft,0,4,4,0.3362,0.6376
rl,8,16,16,0.1713,0.7758
on_policy_imitation,2,64,64,0.0366,0.875
clean_sft,8,1,1,0.4948,0.4945
on_policy_imitation,0,4,4,0.2064,0.7159
trajectory_sft,8,256,256,0.0,0.9
on_policy_imitation,8,256,256,0.2115,0.8839
rl,4,4,4,0.4789,0.5142
trajectory_sft,2,16,16,0.1134,0.8022
trajectory_sft,8,256,256,0.0,0.9
clean_sft,2,1024,1024,1.0,1.0
on_policy_imitation,4,4,4,0.3207,0.6293
clean_sft,4,1,1,0.2694,0.6815
on_policy_imitation,2,16,16,0.2842,0.6846
clean_sft,0,4,4,0.3541,0.6332
trajectory_sft,2,5897,full,1.0,1.0
clean_sft,4,4,4,0.3411,0.6044
clean_sft,4,1,1,0.5,0.4999
on_policy_imitation,0,16,16,0.1572,0.7862
rl,0,4,4,0.34,0.6333
clean_sft,2,4,4,0.3698,0.5987
clean_sft,4,256,256,0.2558,0.9315
trajectory_sft,2,4,4,0.4212,0.559
rl,4,256,256,0.0,0.9
clean_sft,2,5897,full,1.0,1.0
on_policy_imitation,0,16,16,0.221,0.7196
clean_sft,8,5897,full,1.0,1.0
trajectory_sft,8,64,64,0.0053,0.8957
trajectory_sft,4,1,1,0.4678,0.5083
clean_sft,2,1024,1024,1.0,1.0
clean_sft,8,64,64,0.0002,0.9001
rl,2,4,4,0.3718,0.603
rl,0,5897,full,0.0,0.9
rl,4,16,16,0.2022,0.7328
rl,0,4,4,0.301,0.6549
rl,0,256,256,0.0,0.9
trajectory_sft,8,5897,full,1.0,1.0
rl,0,16,16,0.0715,0.8476
on_policy_imitation,0,5897,full,0.6492,0.7263
trajectory_sft,2,256,256,0.0,0.9
on_policy_imitation,0,4,4,0.3439,0.6282
trajectory_sft,4,4,4,0.4939,0.518
on_policy_imitation,0,5897,full,0.9233,0.9539
on_policy_imitation,0,64,64,0.0439,0.8833
rl,4,5897,full,0.0,0.9
trajectory_sft,2,5897,full,1.0,1.0
on_policy_imitation,0,5897,full,0.8345,0.828
trajectory_sft,2,64,64,0.0003,0.9
on_policy_imitation,8,1,1,0.4957,0.4974
rl,2,5897,full,0.0,0.9
clean_sft,0,16,16,0.0556,0.8618
trajectory_sft,4,1024,1024,1.0,1.0
rl,2,64,64,0.001,0.9
clean_sft,2,16,16,0.0556,0.8618
on_policy_imitation,2,4,4,0.335,0.6637
clean_sft,8,1024,1024,1.0,1.0
clean_sft,0,1,1,0.5636,0.448
rl,8,64,64,0.0003,0.8991
on_policy_imitation,8,4,4,0.3207,0.6293
clean_sft,4,5897,full,1.0,1.0
clean_sft,8,1024,1024,1.0,1.0
on_policy_imitation,8,5897,full,0.9972,1.0
rl,4,64,64,0.0009,0.9
on_policy_imitation,0,1024,1024,0.9613,0.9462
trajectory_sft,8,256,256,0.0,0.9
on_policy_imitation,4,4,4,0.2064,0.7159
clean_sft,4,64,64,0.0018,0.9001
on_policy_imitation,2,64,64,0.0433,0.8697
on_policy_imitation,4,5897,full,0.824,0.8681
trajectory_sft,8,16,16,0.2363,0.7251
trajectory_sft,2,256,256,0.0,0.9
clean_sft,2,1,1,0.4214,0.6025
trajectory_sft,8,4,4,0.4739,0.5332
on_policy_imitation,2,1024,1024,0.8502,0.9501
on_policy_imitation,4,5897,full,0.8345,0.828
trajectory_sft,8,5897,full,1.0,1.0
trajectory_sft,8,4,4,0.4653,0.5336
rl,2,256,256,0.0,0.9
on_policy_imitation,0,1,1,0.4665,0.5276
trajectory_sft,0,64,64,0.0005,0.9
trajectory_sft,2,1024,1024,1.0,1.0
clean_sft,2,16,16,0.129,0.8039
trajectory_sft,0,64,64,0.0,0.9
on_policy_imitation,8,5897,full,0.9957,0.9938
trajectory_sft,2,4,4,0.3052,0.6307
trajectory_sft,0,1024,1024,1.0,1.0
trajectory_sft,8,64,64,0.01,0.8928
rl,4,1,1,0.5553,0.4559
trajectory_sft,8,4,4,0.5107,0.5005
trajectory_sft,2,16,16,0.1212,0.8066
trajectory_sft,2,1024,1024,1.0,1.0
clean_sft,2,256,256,0.2195,0.9238
trajectory_sft,2,256,256,0.0955,0.9108
trajectory_sft,8,5897,full,1.0,1.0
clean_sft,4,1,1,0.4393,0.5329
on_policy_imitation,2,64,64,0.0598,0.8599
trajectory_sft,4,64,64,0.0015,0.8987
rl,2,16,16,0.1278,0.8155
trajectory_sft,0,1024,1024,1.0,1.0
clean_sft,8,5897,full,1.0,1.0
trajectory_sft,4,5897,full,1.0,1.0
on_policy_imitation,8,4,4,0.4683,0.5367
trajectory_sft,4,5897,full,1.0,1.0
on_policy_imitation,0,1,1,0.485,0.4886
rl,0,4,4,0.3883,0.5953
trajectory_sft,4,4,4,0.5114,0.4958
rl,4,4,4,0.3731,0.6002
trajectory_sft,0,1,1,0.4393,0.5329
rl,2,4,4,0.3192,0.658
rl,2,5897,full,0.2587,0.9247
rl,0,16,16,0.2042,0.7251
trajectory_sft,0,256,256,0.4112,0.9436
clean_sft,8,64,64,0.0005,0.9
rl,8,5897,full,0.0,0.9
clean_sft,0,5897,full,1.0,1.0
rl,2,1024,1024,0.0,0.9
clean_sft,2,16,16,0.1191,0.8168
rl,2,256,256,0.0,0.9
on_policy_imitation,2,64,64,0.0269,0.8845
on_policy_imitation,4,1,1,0.6504,0.3965
trajectory_sft,8,1024,1024,1.0,1.0
trajectory_sft,0,4,4,0.3411,0.6044
rl,8,4,4,0.3099,0.6345
on_policy_imitation,0,256,256,0.2286,0.8045
rl,0,1,1,0.4994,0.4997
on_policy_imitation,4,1,1,0.4374,0.5367
trajectory_sft,0,5897,full,1.0,1.0
trajectory_sft,8,1024,1024,1.0,1.0
trajectory_sft,0,64,64,0.0018,0.9001
rl,0,16,16,0.1138,0.8347
rl,2,256,256,0.0,0.9
on_policy_imitation,2,256,256,0.0228,0.8889
clean_sft,8,4,4,0.3362,0.6376
clean_sft,8,5897,full,1.0,1.0
on_policy_imitation,4,64,64,0.0439,0.8833
trajectory_sft,0,16,16,0.129,0.8039
rl,0,1,1,0.5019,0.5002
clean_sft,2,5897,full,1.0,1.0
trajectory_sft,4,1,1,0.5193,0.4986
clean_sft,0,5897,full,1.0,1.0
on_policy_imitation,2,1,1,0.2632,0.6822
on_policy_imitation,8,4,4,0.335,0.6637
on_policy_imitation,8,64,64,0.0278,0.8721
trajectory_sft,4,5897,full,1.0,1.0
trajectory_sft,4,4,4,0.2309,0.7159
rl,0,256,256,0.0,0.9
clean_sft,4,1024,1024,1.0,1.0
on_policy_imitation,4,64,64,0.0278,0.8721
clean_sft,2,4,4,0.2199,0.711
trajectory_sft,2,1024,1024,1.0,1.0
clean_sft,0,64,64,0.0005,0.9
on_policy_imitation,8,64,64,0.0366,0.875
clean_sft,8,256,256,0.2488,0.9295
trajectory_sft,2,1,1,0.4918,0.5212
on_policy_imitation,2,256,256,0.1184,0.8694
on_policy_imitation,0,64,64,0.0306,0.8826
rl,4,64,64,0.0001,0.9
on_policy_imitation,0,64,64,0.0366,0.875
clean_sft,2,16,16,0.0999,0.8251
clean_sft,2,1024,1024,1.0,1.0
trajectory_sft,4,256,256,0.0,0.9
trajectory_sft,2,1,1,0.2764,0.6766
clean_sft,4,16,16,0.1405,0.7934
clean_sft,8,4,4,0.3698,0.5987
trajectory_sft,0,64,64,0.0,0.9
on_policy_imitation,8,1,1,0.2632,0.6822
trajectory_sft,0,4,4,0.2905,0.6636
clean_sft,0,4,4,0.2199,0.711
on_policy_imitation,4,1,1,0.5254,0.4852
rl,8,1,1,0.4849,0.5228
clean_sft,0,16,16,0.1329,0.7901
trajectory_sft,8,16,16,0.1365,0.8066
on_policy_imitation,2,1,1,0.5003,0.5
on_policy_imitation,8,256,256,0.4422,0.8437
on_policy_imitation,0,1,1,0.4957,0.4974
rl,0,5897,full,0.0,0.9
trajectory_sft,0,1,1,0.5636,0.448
on_policy_imitation,4,4,4,0.5021,0.4885
rl,0,64,64,0.0007,0.9002
on_policy_imitation,2,4,4,0.5219,0.4759
clean_sft,0,4,4,0.3411,0.6044
clean_sft,0,256,256,0.2488,0.9295
trajectory_sft,4,256,256,0.0,0.9
rl,8,5897,full,0.2571,0.9237
rl,2,5897,full,0.2515,0.9232
rl,4,5897,full,0.2535,0.9274
trajectory_sft,4,16,16,0.1188,0.8117
rl,4,16,16,0.1697,0.7751
rl,8,16,16,0.2741,0.6819
rl,4,1,1,0.5031,0.5001
rl,4,64,64,0.0051,0.8995
rl,8,1,1,0.5,0.4995
trajectory_sft,4,1,1,0.5003,0.5
clean_sft,4,1,1,0.4214,0.6025
on_policy_imitation,2,64,64,0.0306,0.8826
trajectory_sft,4,64,64,0.0014,0.898
clean_sft,0,256,256,0.8066,0.9861
clean_sft,0,5897,full,1.0,1.0
clean_sft,0,1024,1024,1.0,1.0
rl,0,4,4,0.3411,0.5943
trajectory_sft,0,1024,1024,1.0,1.0
on_policy_imitation,0,5897,full,0.824,0.8681
rl,4,5897,full,0.0,0.9
clean_sft,0,4,4,0.3871,0.6014
trajectory_sft,4,64,64,0.0,0.8972
clean_sft,8,1,1,0.4393,0.5329
rl,0,256,256,0.0,0.9
on_policy_imitation,4,256,256,0.0066,0.8994
on_policy_imitation,4,1024,1024,0.936,0.9725
trajectory_sft,8,5897,full,1.0,1.0
on_policy_imitation,0,1,1,0.3979,0.611
trajectory_sft,2,1024,1024,1.0,1.0
clean_sft,0,5897,full,1.0,1.0
rl,8,5897,full,0.2511,0.925
rl,0,64,64,0.0001,0.9
clean_sft,0,5897,full,1.0,1.0
rl,2,256,256,0.0,0.9
on_policy_imitation,2,4,4,0.4683,0.5367
clean_sft,8,1,1,0.5,0.4999
on_policy_imitation,0,256,256,0.1184,0.8694
clean_sft,2,1024,1024,1.0,1.0
rl,2,4,4,0.4682,0.5361
trajectory_sft,2,4,4,0.3564,0.611
on_policy_imitation,0,4,4,0.3207,0.6293
rl,0,5897,full,0.0,0.9
trajectory_sft,4,64,64,0.0,0.8998
trajectory_sft,2,5897,full,1.0,1.0
clean_sft,2,64,64,0.0,0.9
trajectory_sft,4,1,1,0.6169,0.4109
trajectory_sft,8,1024,1024,1.0,1.0
on_policy_imitation,0,256,256,0.4422,0.8437
clean_sft,2,64,64,0.0005,0.9
trajectory_sft,8,64,64,0.0043,0.8942
trajectory_sft,4,16,16,0.1299,0.7976
on_policy_imitation,0,4,4,0.335,0.6637
clean_sft,8,1024,1024,1.0,1.0
on_policy_imitation,2,256,256,0.4422,0.8437
rl,2,64,64,0.0,0.9
clean_sft,4,64,64,0.0002,0.9001
rl,2,1024,1024,0.0,0.9
clean_sft,8,256,256,0.8139,0.9854
on_policy_imitation,2,1,1,0.485,0.4886
rl,4,5897,full,0.0,0.9
trajectory_sft,8,256,256,0.0,0.9
on_policy_imitation,8,5897,full,0.824,0.8681
trajectory_sft,2,16,16,0.0995,0.8258
on_policy_imitation,4,16,16,0.3804,0.6184
on_policy_imitation,4,5897,full,0.6492,0.7263
on_policy_imitation,4,5897,full,0.7514,0.7706
on_policy_imitation,8,16,16,0.3396,0.6512
clean_sft,8,4,4,0.3411,0.6044
rl,0,1024,1024,0.0,0.9
rl,0,64,64,0.0,0.9
rl,0,4,4,0.3223,0.6568
trajectory_sft,0,1024,1024,1.0,1.0
clean_sft,8,5897,full,1.0,1.0
on_policy_imitation,4,16,16,0.2842,0.6846
trajectory_sft,2,4,4,0.2605,0.7043
clean_sft,4,4,4,0.2804,0.6857
rl,2,16,16,0.1545,0.7846
clean_sft,4,256,256,0.0778,0.9105
clean_sft,8,256,256,0.8066,0.9861
rl,2,5897,full,0.0,0.9
trajectory_sft,4,1,1,0.5037,0.483
rl,8,4,4,0.3546,0.589
clean_sft,2,4,4,0.2905,0.6636
on_policy_imitation,2,5897,full,0.6492,0.7263
rl,2,1024,1024,0.0,0.9
rl,8,16,16,0.0944,0.8251
clean_sft,8,1,1,0.7204,0.3283
clean_sft,4,5897,full,1.0,1.0
rl,4,5897,full,0.0,0.9
rl,8,64,64,0.0,0.9
clean_sft,4,64,64,0.0005,0.9
trajectory_sft,8,64,64,0.0025,0.8994
clean_sft,0,256,256,0.3361,0.9373
on_policy_imitation,2,4,4,0.3207,0.6293
trajectory_sft,4,4,4,0.3789,0.594
trajectory_sft,4,5897,full,1.0,1.0
rl,8,1,1,0.4976,0.4912
rl,2,256,256,0.0,0.9
rl,2,4,4,0.3061,0.6508
on_policy_imitation,2,1024,1024,0.7863,0.922
on_policy_imitation,4,1024,1024,0.9246,0.9605
rl,8,16,16,0.1778,0.7744
rl,2,1,1,0.2672,0.6812
on_policy_imitation,0,16,16,0.2842,0.6846
clean_sft,8,64,64,0.0005,0.9
rl,2,5897,full,0.0,0.9
rl,0,1,1,0.2649,0.6789
trajectory_sft,2,1024,1024,1.0,1.0
trajectory_sft,4,5897,full,1.0,1.0
clean_sft,4,256,256,0.8187,0.9858
rl,0,4,4,0.4817,0.5124
trajectory_sft,8,1,1,0.4921,0.5207
trajectory_sft,2,1,1,0.6054,0.4141
rl,0,1,1,0.5003,0.4993
on_policy_imitation,0,1,1,0.4374,0.5367
clean_sft,2,1024,1024,1.0,1.0
trajectory_sft,4,1024,1024,1.0,1.0
clean_sft,8,1024,1024,1.0,1.0
on_policy_imitation,4,1024,1024,0.7863,0.922
clean_sft,0,5897,full,1.0,1.0
rl,2,16,16,0.1872,0.7679
clean_sft,4,16,16,0.1329,0.7901
trajectory_sft,0,64,64,0.0005,0.9
rl,8,5897,full,0.0,0.9
on_policy_imitation,4,5897,full,1.0,1.0
trajectory_sft,2,4,4,0.4955,0.5065
on_policy_imitation,4,5897,full,0.9233,0.9539
rl,2,16,16,0.1583,0.7751
on_policy_imitation,2,64,64,0.0319,0.869
trajectory_sft,0,16,16,0.0556,0.8618
trajectory_sft,8,1,1,0.5,0.5
on_policy_imitation,0,4,4,0.5219,0.4759
rl,4,16,16,0.1919,0.7568
trajectory_sft,4,4,4,0.3929,0.5815
trajectory_sft,2,64,64,0.0011,0.9
rl,0,4,4,0.2359,0.7028
rl,4,16,16,0.141,0.7911
rl,8,4,4,0.4333,0.5492
clean_sft,4,4,4,0.3541,0.6332
on_policy_imitation,0,16,16,0.3396,0.6512
clean_sft,4,1024,1024,1.0,1.0
clean_sft,8,1,1,0.5313,0.489
clean_sft,4,1,1,0.7204,0.3283
trajectory_sft,4,256,256,0.0,0.9
on_policy_imitation,0,256,256,0.3729,0.8061
rl,2,64,64,0.0,0.9
rl,2,1024,1024,0.0,0.9
clean_sft,8,1,1,0.4214,0.6025
rl,8,256,256,0.0045,0.9008
clean_sft,0,5897,full,1.0,1.0
clean_sft,2,1,1,0.4649,0.528
trajectory_sft,2,1,1,0.5261,0.4941
on_policy_imitation,0,16,16,0.2746,0.6953
rl,4,64,64,0.0013,0.9
rl,0,16,16,0.1537,0.7801
clean_sft,4,16,16,0.129,0.8039
clean_sft,4,5897,full,1.0,1.0
clean_sft,0,16,16,0.1378,0.7678
rl,2,64,64,0.0005,0.8994
trajectory_sft,4,5897,full,1.0,1.0
rl,8,5897,full,0.0,0.9
clean_sft,4,16,16,0.0999,0.8251
trajectory_sft,2,1024,1024,1.0,1.0
on_policy_imitation,8,1,1,0.5254,0.4852
clean_sft,2,64,64,0.0,0.8995
on_policy_imitation,8,16,16,0.2806,0.6857
clean_sft,4,256,256,0.8733,0.9892
trajectory_sft,4,4,4,0.5165,0.4962
clean_sft,0,4,4,0.3587,0.6156
rl,0,16,16,0.0876,0.839
clean_sft,4,5897,full,1.0,1.0
rl,0,16,16,0.1421,0.8004
rl,2,64,64,0.0,0.9
rl,0,16,16,0.1686,0.7747
on_policy_imitation,0,16,16,0.4109,0.5758
rl,0,64,64,0.001,0.9003
clean_sft,8,5897,full,1.0,1.0
clean_sft,0,256,256,0.2558,0.9315
rl,8,64,64,0.0004,0.9001
clean_sft,4,64,64,0.0,0.9
clean_sft,8,64,64,0.0004,0.9
rl,2,16,16,0.1998,0.7318
rl,2,5897,full,0.2532,0.9236
rl,8,1024,1024,0.0,0.9
clean_sft,4,4,4,0.3871,0.6014
clean_sft,8,4,4,0.2199,0.711
on_policy_imitation,4,16,16,0.2258,0.7213
rl,8,64,64,0.0009,0.8997
trajectory_sft,4,4,4,0.3827,0.5856
trajectory_sft,8,4,4,0.5002,0.5001
clean_sft,2,4,4,0.3411,0.6044
clean_sft,8,4,4,0.3541,0.6332
clean_sft,0,1024,1024,1.0,1.0
trajectory_sft,4,16,16,0.1386,0.8105
clean_sft,0,16,16,0.1405,0.7934
rl,8,256,256,0.0,0.9
trajectory_sft,0,1024,1024,1.0,1.0
rl,4,4,4,0.3121,0.6476
trajectory_sft,0,5897,full,1.0,1.0
trajectory_sft,8,16,16,0.2583,0.7034
